order_date,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020
2025-10-23,1,1,0,1,2,6,1,3,1,2,3,0,7,3,1,0,8,3,5,4
2025-10-24,0,2,0,1,2,6,0,4,1,2,4,8,4,3,0,4,3,6,0,0
2025-10-25,7,0,11,4,6,0,8,1,6,4,2,5,3,12,6,3,3,4,0,4
2025-10-26,1,1,3,0,3,3,3,2,0,1,0,0,4,0,3,0,0,3,1,0
2025-10-27,0,0,1,0,3,1,0,0,0,0,6,1,0,0,0,3,3,4,0,0
2025-10-28,2,0,4,0,1,6,0,0,0,3,0,0,3,0,0,0,0,0,0,0
2025-10-29,8,3,1,4,0,0,0,0,9,0,3,0,4,7,3,3,5,3,3,2
2025-10-30,2,8,2,6,3,1,0,4,2,5,3,0,4,2,1,0,5,5,3,4
2025-10-31,1,1,5,0,8,0,0,2,3,5,0,3,0,3,0,0,0,3,3,0
2025-11-01,0,3,5,4,0,0,0,0,2,6,0,0,0,0,5,4,0,0,0,0
2025-11-02,7,1,0,1,2,0,3,1,0,0,0,3,0,4,0,0,7,0,3,3
2025-11-03,3,8,4,0,0,0,3,2,2,3,1,5,6,0,2,3,0,0,6,6
2025-11-04,1,2,1,4,6,5,0,3,8,3,9,1,3,0,9,0,1,3,1,1
2025-11-05,5,0,0,5,4,3,0,2,0,3,5,3,3,5,2,0,3,6,4,6
2025-11-06,4,2,1,0,3,0,3,0,0,6,0,2,0,2,2,0,4,3,3,0
2025-11-07,0,2,0,3,3,2,0,0,0,0,2,1,4,0,5,0,5,0,0,0
2025-11-08,0,3,5,0,3,1,3,1,1,0,0,0,5,5,0,7,0,1,3,3
2025-11-09,0,1,3,4,3,1,2,2,0,4,5,6,2,4,12,5,4,1,2,1
2025-11-10,2,0,1,0,4,0,3,2,2,2,4,6,2,2,0,1,0,0,0,0
2025-11-11,1,0,3,0,0,0,2,1,2,1,0,2,0,0,0,7,0,0,0,0
2025-11-12,0,0,2,8,4,0,2,2,5,3,3,3,0,1,6,1,4,0,4,0
2025-11-13,3,3,5,3,1,0,2,3,3,3,1,0,8,2,3,5,1,3,1,6
2025-11-14,0,1,0,0,1,0,0,5,0,0,0,0,2,0,0,3,3,3,3,4
2025-11-15,0,0,0,3,3,2,4,0,2,8,0,0,2,2,2,0,4,3,0,1
2025-11-16,0,1,0,1,0,0,0,0,0,0,5,0,0,0,3,1,6,2,0,0
2025-11-17,1,0,0,3,2,0,2,0,0,0,0,3,0,0,2,0,3,0,1,1
2025-11-18,0,0,0,0,2,2,3,0,1,8,0,4,3,0,2,2,3,6,0,4
2025-11-19,0,1,3,0,2,5,4,0,1,0,2,6,6,8,2,0,2,7,2,6
2025-11-20,0,0,2,0,2,0,3,0,0,1,0,0,0,0,0,1,2,3,0,0
2025-11-21,0,3,0,6,5,2,0,0,3,4,4,0,1,0,3,1,4,3,0,1
2025-11-22,6,3,1,2,0,2,3,0,1,0,0,5,0,0,0,2,0,0,0,2
2025-11-23,2,1,1,0,0,0,3,3,0,2,0,3,1,6,0,0,0,3,4,0
2025-11-24,5,5,0,4,2,4,0,0,0,3,1,3,1,0,2,4,8,0,3,3
2025-11-25,2,4,2,4,3,0,4,0,2,1,2,1,0,4,0,4,2,0,4,3
2025-11-26,2,0,3,0,6,0,0,1,5,0,1,1,4,2,3,0,0,0,0,0
2025-11-27,6,3,2,0,1,0,1,1,3,3,0,2,0,0,2,0,5,4,0,3
2025-11-28,0,0,0,1,0,0,2,0,0,2,0,5,0,0,4,1,2,3,3,0
2025-11-29,2,3,0,3,1,3,2,0,4,2,2,3,0,0,2,1,0,0,3,2
2025-11-30,1,0,0,0,3,2,0,0,0,0,0,0,1,2,3,0,0,0,0,0
2025-12-01,2,0,2,1,2,0,0,0,6,3,0,4,0,0,3,4,5,5,0,0
2025-12-02,0,6,0,5,0,0,3,2,0,0,0,0,0,1,0,3,3,1,1,3
2025-12-03,0,9,0,0,4,3,1,3,8,6,0,4,3,1,4,5,0,2,4,1
2025-12-04,3,0,0,3,0,0,3,0,1,0,3,0,0,0,0,1,1,0,0,0
2025-12-05,1,0,0,0,0,0,3,0,6,0,0,0,8,1,8,0,2,2,1,1
2025-12-06,3,1,0,0,1,2,0,0,0,3,0,2,0,3,0,2,8,0,0,0
2025-12-07,0,3,3,1,0,3,3,1,1,0,1,2,0,3,0,1,0,2,0,1
2025-12-08,4,0,0,3,8,0,2,0,2,3,0,0,0,6,4,4,1,3,5,3
2025-12-09,0,0,3,0,6,1,1,4,0,3,1,5,4,0,0,2,6,6,1,0
2025-12-10,0,0,3,0,0,0,3,0,0,1,1,3,5,3,5,2,4,3,4,1
2025-12-11,2,5,3,0,0,3,0,1,3,0,0,4,0,1,2,0,0,3,3,0
2025-12-12,0,2,1,0,3,3,0,0,0,0,8,0,1,0,1,3,3,1,0,0
2025-12-13,0,0,1,0,0,2,3,5,5,3,2,4,10,3,4,2,0,6,0,5
2025-12-14,2,3,0,0,0,3,0,0,0,0,1,3,0,1,4,0,1,1,0,1
2025-12-15,0,1,2,2,0,6,0,0,3,0,3,4,3,0,0,1,0,1,3,4
2025-12-16,0,0,1,2,4,1,2,0,4,1,0,2,3,4,0,0,3,0,4,3
2025-12-17,0,6,1,1,3,9,9,0,9,3,2,4,2,3,2,2,4,2,1,3
2025-12-18,3,1,1,0,2,1,5,1,2,5,3,0,5,0,0,2,3,2,0,0
2025-12-19,0,0,5,0,2,2,3,0,0,0,1,2,2,0,2,0,4,0,3,2
2025-12-20,0,4,0,0,2,6,0,0,2,4,4,1,2,0,0,2,1,3,1,4
2025-12-21,0,1,2,3,0,4,4,0,0,3,0,1,0,0,0,0,0,0,5,2
2025-12-22,2,0,3,0,0,0,5,0,6,0,4,0,3,0,1,0,1,5,5,2
2025-12-23,1,3,3,5,0,6,2,3,0,0,1,0,4,0,2,4,7,2,6,2
2025-12-24,11,0,0,3,0,1,3,0,4,1,1,0,1,5,5,5,1,6,0,5
2025-12-25,5,2,0,2,4,0,0,3,0,3,0,0,1,1,5,0,5,3,0,2
2025-12-26,5,1,2,0,0,0,0,0,0,0,0,0,2,0,4,0,3,5,0,0
2025-12-27,0,5,6,1,0,0,2,2,8,0,0,3,6,4,2,3,3,3,6,0
2025-12-28,5,0,0,2,0,12,5,1,0,2,2,5,2,2,0,1,4,6,3,2
2025-12-29,0,0,3,2,0,0,2,0,0,1,2,3,3,7,0,6,1,3,2,1
2025-12-30,2,11,1,2,3,3,4,1,1,3,0,2,0,0,2,0,0,0,3,5
2025-12-31,2,0,0,0,0,2,4,0,0,3,0,0,0,2,5,0,0,4,4,0
